ir.adad.androidsdkv3,AdadSDKv3
co.adcel.android,Adcel Airpush
co.adcel.android,Adcel Revmob
co.adcel.android,Adcel Smaato
co.adcel.android,Adcel Supersonic
com.iqzone.thirdparty,AdColony
com.adjust.sdk,Adjust Android SDK
com.spiffey.adlib,AdLib
com.yumimobi.ads.mediation,AdMob
com.bingzer.android.ads,Adnets Leadbolt
com.adtoapp.android,Adtoapp Avocarrot
com.adtoapp.android,Adtoapp Nativex
com.adtoapp.android,Adtoapp Tapsense
net.pubnative,Advertising ID Client
com.mparticle,Android Kochava Kit
org.renjin.cran,Apc
com.applovin,AppLovin SDK
com.appnexus.opensdk,AppNexus Android SDK
com.appnexus.opensdk.mediatedviews,AppNexus Android SDK: AdMarvel Mediation Adapter
com.appsflyer,AppsFlyerSDK
com.amazonaws,AWS Java SDK For Amazon S3
com.buzzvil.buzzscreen,Buzzscreen OutBrain SDK For Android
com.fiftyfive.cargo.handlers.MobileAppTracking,Cargo
com.chartboost,Chartboost
org.mobicents.servers.jainslee.core,Components Test DU 1 Events
com.inneractive.jenkins.plugins,Consul Plugin
com.criteo.publisher,Criteo Publisher SDK
io.display,DisplayIOAndroidSDK
com.conversantmedia,Disruptor
net.nan21.dnet,DNet AD Domain
net.nan21.dnet,DNet AD Domain
org.eclipse.emf.ecore,EMF Ecore Change Model
com.facebook.android,Facebook Android SDK
com.applovin.mediation,Fyber Adapter
com.google.guava,Guava: Google Core Libraries For Java
com.iqzone.thirdparty,Hyprmx
com.igaworks.adpopcorn,IgawAdPopcorn
com.inmobi.monetization,InMobi Mobile Ads
com.google.ads.mediation,IronSource Mediation Adapter For The Google Mobile Ads SDK
com.fasterxml.jackson.core,Jackson Core
org.glassfish.jersey.media,Jersey Media JSON Jackson
org.glassfish.jersey.media,Jersey Media JSON Jackson
org.glassfish.jersey.media,Jersey Media JSON Jackson
org.keedio.openx.data,JSON
net.minidev,JSON Small and Fast Parser
com.cleveradssolutions,KIDOZ
me.kiip.sdk,Kiip
net.pubnative,Library
com.lootsie.sdk,LootsieAerserv
com.madvertise.cmp,MAdvertiseCmp
com.iqzone.thirdparty,Mintegral AndroidManifest
com.iqzone.thirdparty,MobFox
com.yumimobi.ads.thirdparty,Mobvista
com.github.moceanapi,Mocean SDK Java
com.mopub,MoPub Android SDK
com.my.target,MyTarget SDK
com.applovin.mediation.sdks.nend,Nend
com.iqzone.thirdparty,Ogury
com.tappx.sdk.android,OMSDK For Tappx
org.odpi.egeria,Open Connector Framework (OCF)
com.google.android.gms,Play Services Ads
com.google.android.gms,Play Services Ads
com.google.android.gms,Play Services Ads
com.google.android.gms,Play Services Ads
com.google.android.gms,Play Services Ads
com.pollfish,Pollfish GooglePlay
com.google.api.grpc,Proto Google Cloud Video Intelligence V1
com.mobidevelop.robovm,RoboPods Appodeal IOS
org.robovm,RoboPods Heyzap Android
com.noqoush.adfalcon.android,SDK
com.vdopia.ads.lw,SDK
org.springframework.mobile,Spring Mobile Device Resolution Support
org.springframework.mobile,Spring Mobile Device Resolution Support
com.iqzone.thirdparty,Startapp
net.sf.supercsv,Super CSV Core
com.taboola,Taboola Cronyx API
com.tapdaq,Tapdaq
com.tapjoy,Tapjoy Android SDK
com.yomob,TGSDKADDomob
com.tradplusad,TradPlus Appnext
com.netflix.turbine,Turbine Core
com.unity3d.ads,Unity Ads
com.iqzone.thirdparty,VERVE
org.savarese,VServ TCPIP
com.github.vungle,Vungle Android SDK
net.youmi.ads,YoumiNativeAdS
